kode,judul,nilai,narasi,score,url
SAME,"Lanjut MESOP Tahap IV, EMC Hospitals (SAME) Terbitkan 8,75 Juta Saham",8750000.0,,0,
CDIA,"Saham Prajogo PTRO-CDIA Cs Melonjak Lagi, Reli 7 Hari Beruntun",,,0,
CDIA,"CDIA Resmikan Kapal Kimia Cair Boreas, Siap Berlayar Juni 2026",,,0,
CDIA,"Laba CDIA Melejit Jadi Rp2,17 Triliun, Bisnis Logistik Tumbuh 551 Persen",2170000000000.0,,3,
CDIA,"IHSG Hari Ini Berpotensi Melemah, Perhatikan ARKO, MEDC, UNTR, hingga CDIA",,,0,
EPAC,"Penutupan Selat Hormuz Kerek Harga Bahan Baku, Emiten Kemasan (EPAC) Sesuaikan Harga Jual",,,0,
EPAC,Megalestari Epack Sentosaraya (EPAC) Optimistis Menjalani Bisnis di 2025,,,0,
EPAC,Arahan Kemendag ke Ratusan Repacker Imbas Temuan MinyaKita Tak Sesuai Takaran,,,0,
EPAC,"Hari Ini RUPSLB NETV-EPAC, Ex Dividen UNTR Rp2,42 Triliun",2420000000000.0,,3,
EPAC,"Kisah Sukses Usaha Repacking Snack, Penyandang Disabilitas Jadi Pebisnis Cemilan",,,0,
DGNS,"Butuh Modal, Diagnos Laboratorium (DGNS) Siapkan Private Placement 125 Juta Saham",125000000.0,Penambahan Modal,2,
DGNS,"Harga Melonjak Tak Wajar, Saham DGNS Disorot BEI",,,0,
DGNS,"Bergerak Volatile, Saham DGNS-PPRI Diawasi Bursa",,,0,
DGNS,"Saham Kesehatan KAEF-DGNS Melonjak, Investor Spekulasi Lonjakan Kasus Covid-19",,,0,
DGNS,"Dipantau Bursa, Saham Diagnos (DGNS) Berbalik Hijau",,,0,
DGNS,"Diagnos Laboratorium (DGNS) Ditinggal Dua Direkturnya, Ada Apa?",,,0,
LINK,"Link dan Alur Rekrutmen Manajer Koperasi Desa Merah Putih, Catat Jadwalnya",,,0,
LINK,"Amazon Segera Sepakati Akuisisi Operator Satelit Globalstar, Siap Saingi Starlink Milik SpaceX",,Akuisisi,3,
LINK,"Gencar Ekspansi Jaringan, Link Net (LINK) Capai 5 Juta Home Pass",5000000.0,Keyword Abu-Abu,1,
LINK,"SIG (SMGR) Ekspansi ke Afrika, Ekspor Klinker Perdana Menuju Mauritania",,Keyword Abu-Abu,1,
LINK,"Ubah Keterbatasan Jadi Kekuatan, Kisah Difabel Asal Semarang Kembangkan Usaha Bersama LinkUMKM BRI",,,0,
LINK,"LinkUMKM BRI Dorong Perempuan Pengusaha Fesyen Naik Kelas, Olah Wastra Nusantara Jadi Busana Modern",,,0,
LINK,Amazon Ingin Akuisisi Perusahaan Satelit Globalstar untuk Saingi Starlink,,Akuisisi,3,
LINK,"Daftar Link Pengumuman SNBP 2026 Lengkap 42 Universitas, Begini Cara Aksesnya",,,0,
LINK,BRILink Agen “Rieche Endah” Permudah Transaksi Perbankan Warga Sumbawa,,,0,
LINK,"Dukung Transaksi Nasabah Selama Lebaran, BRI Andalkan 1,2 Juta BRILink Agen",1200000.0,,0,
BUVA,"IHSG Hari Ini Berpotensi Menguat, Cermati Saham BUVA, COIN hingga PANI",,,0,
BUVA,"IHSG Hari Ini Berpotensi Terkoreksi Terbatas, INDF, CDIA, hingga BUVA Bisa Jadi Pilihan",,,0,
BUVA,"Terseret Kasus Tuduhan Insider Trading, Begini Imbauan Bukit Uluwatu (BUVA)",,,0,
BUVA,BUVA dan MINA Buka Suara soal Tersangka Kasus Tindak Pidana Pasar Modal Minna Padi,,,0,
SAME,,,,0,https://www.bloombergtechnoz.com/detail-news/71078/kai-uji-coba-akses-baru-stasiun-tanjung-barat-kawasan-hunian-tod
SAME,,64160000.0,,0,https://www.bloombergtechnoz.com/detail-news/17727/perbesar-porsi-kepemilikan-emtek-borong-64-juta-saham-same
CDIA,,,Keyword Abu-Abu,1,https://www.bloombergtechnoz.com/detail-news/105239/cdia-resmikan-kapal-boreas-perkuat-logistik-kimia
CDIA,,2040000000000.0,Keyword Abu-Abu,4,https://www.bloombergtechnoz.com/detail-news/103925/melesat-hampir-tiga-kali-lipat-cdia-raup-laba-rp2-t-di-2025
CDIA,,1210000000000.0,Keyword Abu-Abu,4,https://www.bloombergtechnoz.com/detail-news/96297/cdia-serap-rp1-21-triliun-dana-ipo-hingga-akhir-2025
CDIA,,3320000000000.0,Keyword Abu-Abu,4,https://www.bloombergtechnoz.com/detail-news/94977/cdia-peroleh-fasilitas-pinjaman-hingga-rp3-t-dari-bangkok-bank
CDIA,,167670000000.0,"Afiliasi,Keyword Abu-Abu",4,https://www.bloombergtechnoz.com/detail-news/94968/baru-6-bulan-listing-cdia-tebar-dividen-interim-rp167-67-miliar
CDIA,,1600000000000.0,"Akuisisi,Afiliasi,Keyword Abu-Abu",8,https://www.bloombergtechnoz.com/detail-news/94277/cdia-setor-rp1-6-t-ke-entitas-afiliasi-dukung-investasi-spbu-esso
CDIA,,240000000000.0,"Afiliasi,Keyword Abu-Abu",4,https://www.bloombergtechnoz.com/detail-news/89218/bangun-gudang-cdia-akuisisi-lahan-rp240-m
CDIA,,1300000000000.0,"Afiliasi,Keyword Abu-Abu",5,https://www.bloombergtechnoz.com/detail-news/88854/laba-cdia-naik-269-ke-rp1-3-t-kuartal-iii-2025-margin-menebal
CDIA,,1290000000.0,Keyword Abu-Abu,1,https://www.bloombergtechnoz.com/detail-news/86301/nilai-transaksi-saham-cdia-sentuh-rp2-t-jauh-kalahkan-bumi
CDIA,,18140000.0,"Pengambilalihan,Afiliasi,Right Issue,Keyword Abu-Abu",7,https://www.bloombergtechnoz.com/detail-news/86167/cdia-kucurkan-dana-segar-triliunan-ke-anak-usaha
CDIA,,7100000000000.0,Keyword Abu-Abu,4,https://www.bloombergtechnoz.com/detail-news/85092/di-balik-kuatnya-harga-saham-berhembus-isu-antara-cdia-exxon
CDIA,,1090000000000.0,Keyword Abu-Abu,4,https://www.bloombergtechnoz.com/detail-news/84090/laba-cdia-melesat-capai-rp1-t-di-paruh-pertama-2025
CDIA,,,Keyword Abu-Abu,1,https://www.bloombergtechnoz.com/detail-news/83790/respons-toba-soal-isu-kongsi-pengelolaan-sampah-dengan-cdia
CDIA,,,Keyword Abu-Abu,1,https://www.bloombergtechnoz.com/detail-news/83630/bahlil-kurangi-volume-hgbt-buat-powr-kija-dan-anak-usaha-cdia
EPAC,,10000000000000.0,,3,https://www.bloombergtechnoz.com/detail-news/17306/dituding-biang-kenaikan-harga-10-pengoplos-beras-diringkus
LINK,,3520000000000.0,,3,https://www.bloombergtechnoz.com/detail-news/107165/brilink-mekaar-percepat-akses-keuangan-masyarakat
LINK,,22900000.0,,0,https://www.bloombergtechnoz.com/detail-news/106514/ultra-mikro-bri-dorong-perempuan-naik-kelas
LINK,,42000000000000.0,Keyword Abu-Abu,4,https://www.bloombergtechnoz.com/detail-news/106420/brilink-dorong-umkm-perempuan-naik-kelas-di-palembang
LINK,,35000000000000.0,,3,https://www.bloombergtechnoz.com/detail-news/106364/rekrutmen-manajer-kopdes-link-pendaftaran-syarat-dan-info-gaji
LINK,,15570000.0,,0,https://www.bloombergtechnoz.com/detail-news/106230/naeka-tembus-pasar-global-lewat-dukungan-bri
LINK,,,,0,https://www.bloombergtechnoz.com/detail-news/105894/link-tiket-konser-lany-jakarta-2026-cara-belinya
LINK,,,,0,https://www.bloombergtechnoz.com/detail-news/105556/harga-avtur-melambung-citilink-akan-naikkan-harga-tiket
LINK,,19000000000.0,,1,https://www.bloombergtechnoz.com/detail-news/105406/dari-warung-sederhana-siti-julaeha-sukses-jadi-agen-brilink
LINK,,29000000000.0,,1,https://www.bloombergtechnoz.com/detail-news/104810/satelit-starlink-34343-dari-spacex-elon-musk-dilaporkan-meledak
LINK,,2026000000000000.0,,3,https://www.bloombergtechnoz.com/detail-news/104521/bri-ingatkan-risiko-kebocoran-data-akibat-link-palsu
LINK,,1200000.0,,0,https://www.bloombergtechnoz.com/detail-news/104383/brilink-dorong-inklusi-agen-tumbuh-pesat-di-daerah
BAUT,,7000000000.0,,0,https://www.bloombergtechnoz.com/detail-news/95681/ratusan-baut-bantalan-rel-kai-dicuri-anjlokan-mengancam
BAUT,,,,0,https://www.bloombergtechnoz.com/detail-news/88056/viral-baut-baut-pesawat-kendur-saat-terbang-lion-air-buka-suara
BAUT,,737000000000.0,,2,https://www.bloombergtechnoz.com/detail-news/27748/ceo-alaska-air-geram-banyak-baut-longgar-di-boeing-737-max-9
BAUT,,737000000000.0,Keyword Abu-Abu,3,https://www.bloombergtechnoz.com/detail-news/26198/hasil-penyelidikan-boeing-ada-baut-kendur-di-plug-pintu-alaska
BUVA,,3600000000.0,"Right Issue,Penambahan Modal,Keyword Abu-Abu",5,https://www.bloombergtechnoz.com/detail-news/63022/akuisisi-lunasi-utang-buva-right-issue-3-6-miliar-unit
BUVA,,754410000000.0,"Pengambilalihan,Right Issue,Penambahan Modal",9,https://www.bloombergtechnoz.com/detail-news/10229/suami-puan-happy-hapsoro-resmi-caplok-buva-senilai-rp754-m
