judul,tanggal,tanggal_dt,kode,kategori,teks_sumber,nilai_transaksi,size_category,score_size,score_keyword,final_score
Penambahan modal tanpa HMETD - Rencana Pelaksanaan Penambahan Modal Tanpa HMETD [DGNS ],27 Apr 2026 21:37:12,2026-04-27 21:37:12,DGNS,Right Issue,Penambahan modal tanpa HMETD - Rencana Pelaksanaan Penambahan Modal Tanpa HMETD [DGNS ],,Unknown,0,2,2
Penyampaian Bukti Iklan Informasi Penambahan Modal tanpa HMETD [SAME ],27 Apr 2026 21:22:37,2026-04-27 21:22:37,SAME,Right Issue,Penyampaian Bukti Iklan Informasi Penambahan Modal tanpa HMETD [SAME ],,Unknown,0,2,2
Penyampaian Bukti Iklan Keterbukaan Informasi Rencana PMTHMETD dalam rangka Pelaksanaan Program Kepemilikan Saham Manajemen dan Karyawan (Program MESOP) [SAME ],27 Apr 2026 21:21:33,2026-04-27 21:21:33,SAME,Right Issue,Penyampaian Bukti Iklan Keterbukaan Informasi Rencana PMTHMETD dalam rangka Pelaksanaan Program Kepemilikan Saham Manajemen dan Karyawan (Program MESOP) [SAME ],,Unknown,0,2,2
Penyampaian Bukti Iklan KETERBUKAAN INFORMASI PT CHANDRA DAYA INVESTASI Tbk SEHUBUNGAN DENGAN TRANSAKSI AFILIASI [CDIA ],27 Apr 2026 20:49:47,2026-04-27 20:49:47,CDIA,"Afiliasi, Keyword Abu-Abu",Penyampaian Bukti Iklan KETERBUKAAN INFORMASI PT CHANDRA DAYA INVESTASI Tbk SEHUBUNGAN DENGAN TRANSAKSI AFILIASI [CDIA ],,Unknown,0,3,3
Transaksi Afiliasi [BAUT ],27 Apr 2026 19:44:05,2026-04-27 19:44:05,BAUT,Afiliasi,Transaksi Afiliasi [BAUT ],,Unknown,0,1,1
Transaksi Afiliasi [BUVA ],27 Apr 2026 19:34:37,2026-04-27 19:34:37,BUVA,Afiliasi,Transaksi Afiliasi [BUVA ],,Unknown,0,1,1
Penyampaian Informasi rencana Transaksi material - Rencana Transaksi Perubahan Kegiatan Usaha [LINK ],27 Apr 2026 19:25:55,2026-04-27 19:25:55,LINK,Transaksi Material,Penyampaian Informasi rencana Transaksi material - Rencana Transaksi Perubahan Kegiatan Usaha [LINK ],,Unknown,0,2,2
Negosiasi rencana pengambilalihan Perseroan [EPAC ],27 Apr 2026 17:51:30,2026-04-27 17:51:30,EPAC,Pengambilalihan,Negosiasi rencana pengambilalihan Perseroan [EPAC ],,Unknown,0,3,3
KETERBUKAAN INFORMASI PT CHANDRA DAYA INVESTASI Tbk SEHUBUNGAN DENGAN TRANSAKSI AFILIASI [CDIA ],27 Apr 2026 17:20:05,2026-04-27 17:20:05,CDIA,"Afiliasi, Keyword Abu-Abu",KETERBUKAAN INFORMASI PT CHANDRA DAYA INVESTASI Tbk SEHUBUNGAN DENGAN TRANSAKSI AFILIASI [CDIA ],,Unknown,0,3,3
Keterbukaan Informasi Penambahan Modal Tanpa Hak Memesan Efek Terlebih Dahulu (PMTHMETD) [SAME ],26 Apr 2026 23:50:38,2026-04-26 23:50:38,SAME,Right Issue,Keterbukaan Informasi Penambahan Modal Tanpa Hak Memesan Efek Terlebih Dahulu (PMTHMETD) [SAME ],,Unknown,0,2,2
Keterbukaan Informasi Penambahan Modal Tanpa Hak Memesan Efek Terlebih Dahulu (PMTHMETD) Melalui Program Kepemilikan Saham Manajemen dan Karyawan (Program MESOP) [SAME ],26 Apr 2026 22:30:17,2026-04-26 22:30:17,SAME,Right Issue,Keterbukaan Informasi Penambahan Modal Tanpa Hak Memesan Efek Terlebih Dahulu (PMTHMETD) Melalui Program Kepemilikan Saham Manajemen dan Karyawan (Program MESOP) [SAME ],,Unknown,0,2,2
